samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_llama70b_600.jsonl,200,7,100,100,250,0.73459,0.7854,0.6622,0.59689,0.60927,0.86894,0.97967,0.71028,0.71484,0.67745,0.8655,0.60256,0.9043,0.98675,0.73594,0.7253,22.4
instructions_llama70b_600.jsonl,300,0,150,150,350,0.73967,0.78308,0.79585,0.54022,0.59734,0.85121,0.93599,0.70707,0.75,0.7391,0.8626,0.58024,0.9014,0.97695,0.70119,0.72007,26.7
instructions_llama70b_600.jsonl,300,1,150,150,350,0.69455,0.72954,0.34991,0.58218,0.57851,0.8923,0.9801,0.67218,0.80664,0.2861,0.86235,0.58396,0.8906,0.9672,0.69678,0.81979,25.3
instructions_llama70b_600.jsonl,300,2,150,150,350,0.75989,0.77968,0.61721,0.61116,0.65748,0.89446,0.95761,0.79614,0.78516,0.51635,0.8958,0.60756,0.9172,0.9759,0.75747,0.78747,23.6
instructions_llama70b_600.jsonl,300,3,150,150,350,0.74708,0.76876,0.62889,0.69723,0.59091,0.87846,0.95588,0.75941,0.71875,0.5383,0.83745,0.58657,0.91045,0.98235,0.78754,0.73869,23.9
instructions_llama70b_600.jsonl,300,4,150,150,350,0.61435,0.64543,0.18599,0.51471,0.51515,0.72059,1.0,0.58081,0.7832,0.15305,0.7164,0.52062,0.75185,0.959,0.66994,0.74715,24.7
instructions_llama70b_600.jsonl,300,5,150,150,350,0.67442,0.70901,0.34689,0.58824,0.5303,0.82353,0.99048,0.66024,0.78125,0.27555,0.80505,0.54639,0.8546,0.96265,0.72999,0.78886,22.8
instructions_llama70b_600.jsonl,300,6,150,150,350,0.71854,0.77342,0.57526,0.51384,0.60606,0.87543,0.91133,0.80762,0.74023,0.48285,0.89375,0.60325,0.89625,0.97315,0.77596,0.7887,24.3
instructions_llama70b_600.jsonl,300,7,150,150,350,0.63906,0.66805,0.34862,0.52941,0.5303,0.76471,1.0,0.59137,0.70898,0.275,0.74915,0.52062,0.8203,0.9696,0.65427,0.68744,24.3
instructions_llama70b_600.jsonl,400,0,200,200,450,0.65127,0.68458,0.25606,0.54412,0.54545,0.81142,0.99221,0.60101,0.80859,0.18485,0.7715,0.55723,0.84835,0.97025,0.67871,0.78116,25.8
instructions_llama70b_600.jsonl,400,1,200,200,450,0.72947,0.76796,0.51557,0.64014,0.56612,0.88322,0.97059,0.7787,0.75195,0.44485,0.90855,0.57907,0.8933,0.9765,0.77612,0.79732,26.3
instructions_llama70b_600.jsonl,400,2,200,200,450,0.6861,0.72942,0.49135,0.57785,0.56061,0.81228,0.99654,0.64922,0.71484,0.43595,0.83165,0.55155,0.8474,0.9742,0.70433,0.76085,27.6
instructions_llama70b_600.jsonl,400,3,200,200,450,0.70406,0.74088,0.44074,0.60294,0.57576,0.81142,0.98183,0.73646,0.7793,0.36025,0.82115,0.55266,0.877,0.97875,0.76427,0.8321,27.4
instructions_llama70b_600.jsonl,400,4,200,200,450,0.6986,0.73077,0.44593,0.61765,0.56061,0.80796,1.0,0.64555,0.8125,0.37555,0.8333,0.55155,0.874,0.9838,0.69109,0.80609,27.3
instructions_llama70b_600.jsonl,400,5,200,200,450,0.68451,0.71645,0.28028,0.59126,0.60606,0.82742,0.99481,0.73003,0.76172,0.19235,0.7975,0.56999,0.87465,0.9816,0.78622,0.81287,27.0
instructions_llama70b_600.jsonl,400,6,200,200,450,0.65564,0.67888,0.35467,0.52941,0.5303,0.76471,0.984,0.60606,0.82031,0.28585,0.7626,0.52062,0.8195,0.9586,0.64385,0.76116,26.1
instructions_llama70b_600.jsonl,400,7,200,200,450,0.67973,0.71843,0.39187,0.58953,0.56061,0.82785,0.99481,0.65519,0.73828,0.30335,0.83,0.5567,0.8737,0.97505,0.71256,0.77762,27.4
instructions_llama70b_600.jsonl,500,0,250,250,550,0.69977,0.7462,0.48616,0.59083,0.56061,0.81315,0.99827,0.68962,0.75977,0.4361,0.77235,0.55155,0.86375,0.98255,0.78117,0.83595,31.6
